category	filename	label	subtype	objectPresence	detectedObjects	relevanceScore	anomalyFlags	confidence	summary	available
skincare	pass_01.jpg	pass		true	얼굴 클로즈업;손가락으로 크림을 바르는 손;흰색 크림/로션 제형;깨끗한 피부 표면;젖은 상태로 넘긴 머리카락	0.85	광고/화보 스타일의 고품질 연출 이미지로 보임;실제 자가 촬영(셀피) 인증 사진과는 결이 다른 상업적 촬영 구도 및 조명;거울이나 촬영 환경(욕실 등) 배경 요소가 보이지 않음	0.6	이미지에는 얼굴에 크림 형태의 스킨케어 제품을 손가락으로 도포하는 모습이 클로즈업으로 관찰되며, 스킨케어 루틴과 관련된 요소(얼굴, 제품 제형)가 포함되어 있습니다. 다만 조명과 구도가 상업 화보 스타일에 가까워 일반적인 자가 인증 촬영 환경과는 차이가 있어 보입니다.	true
skincare	pass_02.jpg	pass		true	여성의 얼굴(클로즈업);손(얼굴에 닿은 상태);얼굴에 도포된 것으로 보이는 광택성 액체/제품 잔여물;눈을 감은 표정	0.55	생성형 이미지 의심(피부 질감 및 조명의 과도한 균일성/인위적 광택);스킨케어 제품(용기, 패키지 등) 미확인;거울 반사 얼굴 등 기대 객체 중 하나(스킨케어 제품)가 프레임 내 부재	0.5	이미지는 눈을 감은 여성의 얼굴 클로즈업으로 손이 얼굴에 닿아 있고 피부에 광택성 액체가 도포된 것으로 보이나, 스킨케어 제품 용기 등 구체적 제품이나 촬영 환경(거울, 세면대 등)은 확인되지 않는다. 피부 질감과 조명이 매끄럽고 균일하여 실사 촬영 여부에 대한 추가 확인이 필요해 보인다.	true
skincare	reject_anomaly_01.jpg	reject	anomaly	true	얼굴 클로즈업;손가락;얼굴에 도포된 크림/로션 형태의 흰색 물질;눈, 코, 입 등 얼굴 일부	0.65	화면 재촬영 의심(모아레 패턴 및 스크린 격자무늬 관찰됨);우측에 추가 눈 형상이 겹쳐 보이는 이중 이미지 패턴 관찰됨	0.55	이미지는 얼굴 일부에 흰색 크림 형태의 물질을 손으로 바르는 모습을 근접 촬영한 것으로 보이나, 전체 화면에 격자형 모아레 패턴이 뚜렷하게 나타나 모니터나 디스플레이를 재촬영한 것으로 추정됩니다. 또한 우측에 별도의 눈 형상이 겹쳐 보여 이미지 합성 또는 재촬영으로 인한 왜곡 가능성이 있습니다.	true
skincare	reject_unrelated_01.jpg	reject	unrelated	false	여성 인물;샐러드 그� 볼;연어 요리;닭가슴살 그릴;구운 고구마;브로콜리;병아리콩;아보카도;구아카몰레;물컵;포크;주방 테이블;배경의 꽃과 주방 가구	0.02	기대 객체(스킨케어 제품, 거울 속 얼굴 등)와 무관한 식사 장면으로 카테고리 불일치 의심	0.9	이미지는 여성이 식탁에서 샐러드와 연어, 닭가슴살 등 다양한 음식을 먹는 모습을 보여주며, 스킨케어 제품이나 거울에 비친 얼굴 등 요청된 루틴 관련 객체는 관찰되지 않았다. 전반적으로 식사 장면에 해당하며 SKINCARE 카테고리와의 연관성은 낮게 나타난다.	true
skincare	review_01.png	review		true	얼굴 클로즈업(눈, 눈썹, 피부);손가락;흰색 크림 형태의 제품	0.85		0.7	이미지는 얼굴 눈가 부위를 클로즈업한 장면으로, 손가락으로 흰색 크림 형태의 제품을 눈 밑 피부에 도포하는 모습이 관찰됩니다. 별도의 조작이나 재촬영을 시사하는 뚜렷한 시각적 이상 징후는 발견되지 않았습니다.	true
meal	pass_01.jpg	pass		true	흰색 원형 접시;구운 닭가슴살 슬라이스;삶은 달걀 반쪽 3조각;방울토마토 조림;브로콜리;볶은 버섯;흰색 테이블 표면	0.95		0.85	흰색 접시 위에 닭가슴살, 삶은 달걀, 방울토마토, 브로콜리, 버섯 등이 보기 좋게 담긴 식사 사진이 관찰되며, 위에서 내려다본 구도로 밝은 표면(식탁으로 추정) 위에 놓여 있다. 이미지 내 조작이나 재촬영을 시사하는 뚜렷한 시각적 이상 징후는 관찰되지 않았다.	true
meal	pass_02.jpg	pass		true	흰색 원형 접시;나무 재질 식탁 표면;브로콜리;달걀 프라이;구운 닭가슴살 슬라이스;아보카도 슬라이스;후추 등 향신료 토핑	0.95		0.85	나무 식탁 위 흰색 접시에 브로콜리, 달걀 프라이, 구운 닭가슴살, 아보카도가 담긴 식사 사진이 관찰되며, 조작이나 화면 재촬영 등의 뚜렷한 이상 징후는 확인되지 않았습니다.	true
meal	reject_anomaly_01.jpg	reject	anomaly	true	둥근 접시;방울토마토;삶은 계란 슬라이스;브로콜리;구운 고기(또는 생선) 조각;버섯류;마우스 커서 아이콘	0.75	화면 재촬영 의심(모니터 무아레/줄무늬 패턴 및 스캔라인 관찰됨);이미지 내 마우스 커서 아이콘 포착됨(디지털 화면 캡처 가능성);전반적인 색상 얼룩 및 세로줄 노이즈 패턴 존재	0.55	이미지에는 방울토마토, 삶은 계란, 브로콜리, 버섯, 구운 육류로 구성된 식사가 담긴 접시가 관찰되며 식사 루틴과 내용상 관련성이 있어 보입니다. 다만 이미지 전반에 모니터 재촬영을 시사하는 줄무늬 패턴과 마우스 커서가 함께 포착되어 원본 사진이 아닌 화면을 촬영했을 가능성이 있습니다.	true
meal	reject_unrelated_01.jpg	reject	unrelated	false	자전거;자전거를 타는 사람들;나무가 늘어선 도로;강/수변;다리(교량);가방(크로스백)	0.02	기대 객체(식사, 식탁) 미검출;카테고리 불일치(야외 자전거 활동 장면)	0.9	이미지에는 나무가 늘어선 강변 자전거 도로에서 자전거를 타는 사람들의 모습이 담겨 있으며, 식사가 차려진 접시나 식탁 등 MEAL 카테고리와 관련된 객체는 관찰되지 않습니다.	true
meal	review_01.png	review		true	구운 닭가슴살(슬라이스);삶은 계란;방울토마토;브로콜리;버섯;접시(일부)	0.85		0.7	이미지는 접시 위에 구운 닭가슴살, 삶은 계란, 방울토마토, 브로콜리, 버섯 등이 근접 촬영된 모습을 보여주며, 식탁 전체나 식사 환경은 프레임에 명확히 포착되지 않았습니다. 음식 구성 자체는 건강한 식사 루틴과 관련이 있어 보이나, 접시 이외의 식탁 등 기대 객체 일부는 화면에서 직접 확인되지 않습니다.	true
