category	filename	label	subtype	blurScore	isBlurry	resolution	passesMinResolution	objectPresence	detectedObjects	relevanceScore	anomalyFlags	confidence	summary	isFramedProperly	framingIssue	available
skincare	pass_01.jpg	pass		35.911507	true	1080x1350	true	true	얼굴(클로즈업);손가락;크림 형태의 스킨케어 제품;젖은 머리카락	0.85	과도하게 매끄러운 피부 질감과 조명으로 인해 광고/스톡 이미지 또는 생성형 이미지일 가능성 존재	0.6	얼굴 볼 부위에 손가락으로 크림 형태의 제품을 바르는 모습이 클로즈업으로 관찰되며, 스킨케어 루틴과 관련된 시각적 요소가 포함되어 있다.	true		true
skincare	pass_02.jpg	pass		371.79507	false	1200x1493	true	true	얼굴(클로즈업);손;피부에 남은 광택/제품 잔여물로 추정되는 물질	0.6	과도하게 매끄럽고 균일한 피부 질감으로 생성형 이미지 가능성 의심;스킨케어 제품 용기나 패키지가 화면에 보이지 않음	0.55	이미지는 눈을 감은 인물의 얼굴을 매우 근접하여 촬영한 클로즈업으로, 손으로 뺨을 만지고 있으며 피부에 광택이 있는 물질이 관찰되나 스킨케어 제품 자체는 프레임에 보이지 않는다.	false	얼굴 일부(눈 아래~턱)만 극단적으로 확대되어 촬영되어 전체 얼굴과 사용 중인 스킨케어 제품이 프레임에 함께 담기지 않았다.	true
skincare	reject_anomaly_01.jpg	reject	anomaly	4653.8633	false	2470x3162	true	true	얼굴(클로즈업);얼굴에 도포된 흰색 크림/로션 형태 제품;손가락;눈, 코, 입 등 얼굴 일부	0.6	화면 재촬영 의심(모아레 패턴 및 스크린 격자무늬 관찰됨)	0.55	얼굴 일부가 매우 근접하여 촬영되었고 뺨과 코 부위에 흰색 크림 형태의 제품이 도포된 모습이 관찰되며, 이미지 전반에 격자형 패턴(스크린 재촬영 시 나타나는 모아레 패턴과 유사)이 나타난다.	false	얼굴이 지나치게 근접하여 촬영되어 눈, 코, 입 일부만 프레임에 담기고 전체 얼굴이나 스킨케어 제품 용기 등은 확인되지 않는다.	true
skincare	reject_unrelated_01.jpg	reject	unrelated	95.77038	true	1024x1536	true	false	웃고 있는 여성;포크;샐러드가 담긴 그릭;구운 연어 요리;구운 채소(고구마, 브로콜리);아보카도;병아리콩;물이 담긴 유리컵;과카몰리로 보이는 소스;부엌 배경	0.02	기대 카테고리(스킨케어)와 무관한 식사 장면;제출된 챌린지 설명과 이미지 내용 불일치	0.9	이미지에는 스킨케어 제품이나 거울에 비친 얼굴 없이, 여성이 다양한 샐러드와 구운 음식이 차려진 식탁에서 식사를 하는 모습이 관찰됩니다. 스킨케어 루틴 인증에서 기대되는 객체가 전혀 확인되지 않았습니다.	true		true
skincare	review_01.png	review		13.560828	true	605x643	true	true	얼굴(눈, 눈썹, 피부 클로즈업);손가락;크림 형태의 스킨케어 제품	0.9		0.75	눈 주변 피부를 클로즈업한 이미지에서 손가락으로 흰색 크림 제형을 바르는 모습이 관찰되며, 이는 스킨케어 루틴 수행과 관련된 장면으로 보입니다.	true		true
meal	pass_01.jpg	pass		605.142	false	992x1200	true	true	흰색 접시;구운 닭가슴살 슬라이스;삶은 계란(반으로 자른 것) 3조각;방울토마토(익힌 것);브로콜리;버섯 볶음;테이블 표면 일부	0.95		0.9	위에서 내려다본 앵글로 흰 접시에 닭가슴살, 삶은 계란, 토마토, 브로콜리, 버섯이 구획별로 담겨 있는 모습이 관찰되며, 접시 하단 일부에 테이블 표면이 보인다.	true		true
meal	pass_02.jpg	pass		881.7716	false	720x871	true	true	흰색 접시;나무 재질 식탁(테이블);브로콜리;달걀 프라이;구운 닭가슴살(슬라이스);아보카도 슬라이스;후추 등 시즈닝	0.95		0.85	흰색 접시에 브로콜리, 달걀 프라이, 구운 닭가슴살, 아보카도가 담겨 있고 나무 재질의 식탁 위에 놓여 있는 모습이 관찰됩니다.	true		true
meal	reject_anomaly_01.jpg	reject	anomaly	2024.2563	false	2782x2998	true	true	접시;방울토마토;삶은 계란;브로콜리;구운 고기(또는 생선) 조각;버섯;마우스 커서 아이콘;모아레/줄무늬 패턴	0.75	화면 재촬영 의심(모니터 촬영 시 나타나는 세로 줄무늬 및 모아레 패턴 관찰);이미지 내 마우스 커서 아이콘이 함께 촬영되어 디지털 화면을 재촬영했을 가능성 시사	0.55	접시에 담긴 방울토마토, 삶은 계란, 브로콜리, 버섯, 구운 육류(또는 생선)로 구성된 식사 사진이 관찰되며, 이미지 전반에 걸쳐 세로 줄무늬 패턴과 마우스 커서가 함께 포착되어 화면을 촬영한 것으로 보이는 특징이 확인된다.	true		true
meal	reject_unrelated_01.jpg	reject	unrelated	1599.1028	false	736x981	true	false	자전거;자전거를 타는 사람(들);가로수길;강/수변;다리(교량);가드레일;도로	0.02	기대 객체(식사, 식탁)와 무관한 야외 자전거 활동 장면	0.9	이미지는 나무가 늘어선 강변 자전거 도로에서 사람들이 자전거를 타고 있는 야외 장면으로, 식사가 차려진 접시나 식탁 등 MEAL 카테고리와 관련된 객체는 관찰되지 않는다.	true		true
meal	review_01.png	review		511.54086	false	533x626	true	true	구운 닭가슴살(슬라이스);삶은 계란;방울토마토;브로콜리;버섯;접시(일부만 보임)	0.85		0.7	닭가슴살, 계란, 브로콜리, 토마토, 버섯 등이 담긴 접시가 클로즈업으로 촬영되어 있으며 음식 구성이 관찰된다.	false	접시와 음식이 화면 전체를 가득 채운 매우 근접한 구도로 촬영되어 식탁이나 접시의 전체 형태가 프레임 밖으로 잘려 보이지 않는다.	true
